,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
53,Jun-14,2.6813694000000003,21.418472,30.019218,1.0372803633237064,0.8289424370025794,36092.092,49960.561,25027.953,24932.61,16142.777,108.0,-0.6,39650.0,13500.0,94730.0,15650.0,46432.0,88580.0,2150.0,46152.0,280.0,0.0,0.96
54,Jul-14,1.5011221,20.785207999999997,30.229496,0.961220485460438,0.7815428029718469,36154.812999999995,50087.40033333334,25091.165250000002,24996.237333333334,16217.146666666667,108.16666666666667,-0.585,39650.0,13500.0,94730.0,15650.0,46401.0,88580.0,2150.0,46120.166666666664,280.8333333333333,0.0,1.29
55,Aug-14,0.28066096,19.867535,29.600487,0.9766529244471879,0.7705196322670254,36217.534,50214.23966666667,25154.377500000002,25059.86466666667,16291.516333333333,108.33333333333333,-0.57,39650.0,13500.0,94730.0,15650.0,46370.0,88580.0,2150.0,46088.333333333336,281.6666666666667,0.0,0.97
56,Sep-14,7.8444214,20.42691,30.403349,0.9920853634339382,0.7859520712537755,36280.255,50341.079,25217.58975,25123.492,16365.886,108.5,-0.5549999999999999,39650.0,13500.0,94730.0,15650.0,46339.0,88580.0,2150.0,46056.5,282.5,0.0,0.97
57,Oct-14,1.7086455999999999,21.002499,31.033575,0.9413787781917592,0.7517802420688288,36342.975999999995,50467.918333333335,25280.802,25187.119333333332,16440.255666666668,108.66666666666667,-0.54,39650.0,13500.0,94730.0,15650.0,46308.0,88580.0,2150.0,46024.666666666664,283.3333333333333,0.0,0.98
58,Nov-14,4.960224,22.559826,32.505833,0.9270486562754912,0.6922551202627925,36405.697,50594.75766666667,25344.01425,25250.746666666666,16514.625333333333,108.83333333333333,-0.525,39650.0,13500.0,94730.0,15650.0,46277.0,88580.0,2150.0,45992.833333333336,284.1666666666667,0.0,1.01
59,Dec-14,11.799597,23.975243,32.43906,0.8895698758790979,0.6999713397561675,36468.418,50721.597,25407.2265,25314.374,16588.995,109.0,-0.51,39650.0,13500.0,94730.0,15650.0,46246.0,88580.0,2150.0,45961.0,285.0,0.0,0.95
60,Jan-15,6.875972,24.938803,32.08364,0.9105139002182588,0.7054829251085782,36531.138999999996,50848.43633333333,25470.43875,25378.001333333334,16663.36466666667,109.16666666666667,-0.495,39650.0,13500.0,94730.0,15650.0,46215.0,88580.0,2150.0,45929.166666666664,285.8333333333333,0.0,0.89
61,Feb-15,6.2928387,23.930017000000003,32.72804,0.9026598910910735,0.6962510196432902,36593.86,50975.27566666667,25533.651,25441.628666666667,16737.734333333334,109.33333333333333,-0.48,39650.0,13500.0,94730.0,15650.0,46184.0,88580.0,2150.0,45897.333333333336,286.6666666666667,0.0,0.72
62,Mar-15,12.626695,23.535242,32.387238,0.8948058819638882,0.6870191141780022,36656.581,51102.115000000005,25596.863250000002,25505.256,16812.104,109.5,-0.46499999999999997,39650.0,13500.0,94730.0,15650.0,46153.0,88580.0,2150.0,45865.5,287.5,0.0,0.94
